Result,arc_length
24.099,1.1381
24.118,1.14
24.126,1.1419
24.135,1.1438
24.143,1.1457
24.151,1.1476
24.155,1.1495
24.16,1.1514
24.164,1.1533
24.168,1.1552
24.174,1.1571
24.181,1.159
24.187,1.1609
24.194,1.1628
24.201,1.1647
24.207,1.1666
24.214,1.1685
24.22,1.1704
24.227,1.1723
24.237,1.1742
24.256,1.1761
24.275,1.178
24.294,1.1799
24.313,1.1818
24.332,1.1837
24.351,1.1856
24.369,1.1875
24.388,1.1894
24.421,1.1913
24.459,1.1932
24.497,1.1951
24.535,1.197
24.576,1.1989
24.622,1.2008
24.665,1.2027
24.708,1.2046
24.751,1.2065
24.855,1.2084
25.118,1.2103
25.382,1.2122
25.647,1.2141
25.913,1.216
26.18,1.2179
26.448,1.2198
26.717,1.2217
26.986,1.2236
27.281,1.2255
27.531,1.2274
27.78,1.2293
28.028,1.2312
28.275,1.2331
28.521,1.235
28.767,1.2369
29.011,1.2388
29.249,1.2407
29.255,1.2426
29.26,1.2445
29.266,1.2464
29.272,1.2483
29.278,1.2502
29.282,1.2521
29.286,1.254
29.289,1.2559
29.293,1.2578
29.294,1.2597
29.288,1.2616
29.283,1.2635
29.277,1.2654
29.272,1.2673
29.266,1.2692
29.261,1.2711
29.255,1.273
29.25,1.2749
29.24,1.2768
29.187,1.2787
29.135,1.2806
29.082,1.2825
29.03,1.2844
28.979,1.2863
28.927,1.2882
28.876,1.2901
28.826,1.292
28.721,1.2939
28.567,1.2958
28.414,1.2977
28.26,1.2996
28.107,1.3015
27.89,1.3034
27.658,1.3053
27.426,1.3072
27.193,1.3091
26.961,1.311
26.753,1.3129
26.555,1.3148
26.357,1.3167
26.159,1.3186
25.961,1.3205
25.764,1.3224
25.567,1.3243
25.37,1.3262
25.208,1.3281
25.097,1.33
24.988,1.3319
24.878,1.3338
24.769,1.3357
24.66,1.3376
24.552,1.3395
24.444,1.3414
24.336,1.3433
24.314,1.3452
24.31,1.3471
24.307,1.349
24.304,1.3509
24.301,1.3528
24.297,1.3547
24.294,1.3566
24.291,1.3585
24.287,1.3604
24.285,1.3623
24.284,1.3642
24.283,1.3661
24.281,1.368
24.28,1.3699
24.279,1.3718
24.277,1.3737
24.276,1.3756
24.275,1.3775
24.268,1.3794
24.256,1.3813
24.244,1.3832
24.232,1.3851
24.22,1.387
24.209,1.3889
24.197,1.3908
24.186,1.3927
24.148,1.3946
24.091,1.3965
24.035,1.3984
23.979,1.4003
23.923,1.4022
23.857,1.4041
23.79,1.406
23.723,1.4079
23.657,1.4098
23.627,1.4117
23.6,1.4136
23.574,1.4155
23.548,1.4174
23.521,1.4193
23.495,1.4212
23.468,1.4231
23.441,1.425
23.42,1.4269
23.407,1.4288
23.394,1.4307
23.381,1.4326
23.368,1.4345
23.355,1.4364
23.342,1.4383
23.329,1.4402
23.316,1.4421
23.307,1.444
23.307,1.4459
23.306,1.4478
23.306,1.4497
23.305,1.4516
23.305,1.4535
23.304,1.4554
23.304,1.4573
23.304,1.4592
23.303,1.4611
23.31,1.463
23.319,1.4649
23.327,1.4668
23.336,1.4687
23.344,1.4706
23.352,1.4725
23.361,1.4744
23.369,1.4763
23.379,1.4782
23.443,1.4801
23.526,1.482
23.609,1.4839
23.691,1.4858
