Save,noxycon,ntemp,ndensity,norif,nsernum,ninjpres,ninjdur,nfuelt,nfueltemp,ninst,fileBaseName,date,readme,refs,oxycon,oxyconU,ambComp,ambCompU,MW,Ta,TaS,TaU,Ta_ai,Tbulk,dens,densS,densU,dens_ai,densbulk,ambP,Z,ZU,ambVelocity,ambVelocityU,ambVelTurbulence,ambVelTurbulenceU,vessGeom,injP,injPS,injPU,Tfuel,TfuelS,TfuelU,Tnozzle,TnozzleS,TnozzleU,roi,roiS,roiU,injDur,injDurS,injDurU,injMass,injMassS,injMassU,Cd,CdU,Ca,CaU,orifDiam,orifDiamU,nozGeom,nozGeomU,needlePos,needlePosU,injlag,fuelprops,liqlen,liqlenS,liqlenU,liftoff,liftoffS,liftoffU,igndly,igndlyS,igndlyU,igndlyL,igndlyLS,igndlyLU,pressCV,jetpen,flamelength,spreadAngle,mixing,velocity,combSpecies,liqVol,dropDia,soot,movie,AddFiles
-,mole fraction %,K,kg/m3,mm,-,MPa,ms,-,K,-,-,-,-,-,mole fraction %,mole fraction %,mole fraction %,mole fraction %,-,K,K,K,K,K,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liquid volume fraction,mm,-,-,-
-,vol%,K,kg/m<sup>3</sup>,mm,-,MPa,ms,-,K,-,-,-,-,-,%,%,%,%,-,K,K,K,K,K,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liq vol fraction,mm,-,-,-
593,0,300,22.8,0.090ks-a,A210678,150,1.5,nC12,363,argonne,-,5-Jul-11,<a href= '/cvdata/argonne/assets/datafiles/readme/210678_Needle_Lift_Notes.txt ' target='_blank'>readme</a>,<a href='https://anl.app.box.com/v/XRaySpray/folder/34796951771' target='_blank'><sup> 1</sup></a>,0,-,N2 = 100%,-,28.02,304,-,3,-,-,22.1,-,0.2,-,-,2,0.996,0.002,-,-,-,-,-,152; <a href= '/cvdata/argonne/assets/datafiles/fuelpress/210678_Injection_Press_for_Needle_Lift.csv' target='_blank'>fuel pressure vs time</a>,-,5,338,-,15,338,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SN 210678; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Geometry</a>,-,<a href= '/cvdata/argonne/assets/datafiles/needlelift/210678_Needle_Lift.csv' target='_blank'>needle movement vs time</a>,0.002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/Motion_210678_90deg.avi' target='_blank'>Needle motion (90deg)</a>; <a href= '/cvdata/assets/movies/Motion_210678_0deg.avi' target='_blank'>Needle motion (0deg)</a>,-
594,0,300,22.8,0.090ks-a,A210679,150,1.5,nC12,363,argonne,-,7-Mar-11,<a href= '/cvdata/argonne/assets/datafiles/readme/210679_Needle_Lift_Notes.txt ' target='_blank'>readme</a>,<a href='https://anl.app.box.com/v/XRaySpray/folder/34796951771' target='_blank'><sup> 1</sup></a>,0,-,N2 = 100%,-,28.02,305,-,2,-,-,22.2,-,0.2,-,-,2.01,0.996,0.002,-,-,-,-,-,158; <a href= '/cvdata/argonne/assets/datafiles/fuelpress/210679_Injection_Press_for_Needle_Lift.csv' target='_blank'>fuel pressure vs time</a>,-,5,338,-,15,338,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SN 210679; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Geometry</a>,-,<a href= '/cvdata/argonne/assets/datafiles/needlelift/210678_Needle_Lift.csv' target='_blank'>needle movement vs time</a>,0.002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/Motion_210679_0deg.avi' target='_blank'>Needle motion (0deg)</a>,-
595,0,300,22.8,0.090ks-s,B211200,150,1.5,nC12,363,argonne,-,5-Jul-11,<a href= '/cvdata/argonne/assets/datafiles/readme/211200_Needle_Lift_Notes.txt ' target='_blank'>readme</a>,<a href='https://anl.app.box.com/v/XRaySpray/folder/34796946034' target='_blank'><sup> 1</sup></a>,0,-,N2 = 100%,-,28.02,304,-,3,-,-,22.2,-,0.2,-,-,2.01,0.996,0.002,-,-,-,-,-,<a href= '/cvdata/argonne/assets/datafiles/fuelpress/211200_Injection_Press_for_Needle_Lift.csv' target='_blank'>fuel pressure vs time</a>,-,5,338,-,15,338,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SN 211200; <a href= '/diesel-spray-combustion/target-condition/spray-b-nozzle-geometry/' target='_blank'>Geometry</a>,-,<a href= '/cvdata/argonne/assets/datafiles/needlelift/211200_Needle_Lift.csv' target='_blank'>needle movement vs time</a>,0.002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
596,0,300,22.8,0.090ks-s,B211201,150,1.5,nC12,363,argonne,-,7-Mar-11,<a href= '/cvdata/argonne/assets/datafiles/readme/211201_Needle_Lift_Notes.txt ' target='_blank'>readme</a>,<a href= 'https://anl.app.box.com/v/XRaySpray/folder/34796946034' target='_blank'>1</a>,0,-,N2 = 100%,-,28.02,306,-,2,-,-,22.2,-,0.2,-,-,2.01,0.996,0.002,-,-,-,-,-,155; <a href= '/cvdata/argonne/assets/datafiles/fuelpress/211201_Injection_Press_for_Needle_Lift.csv' target='_blank'>fuel pressure vs time</a>,-,5,338,-,15,338,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SN 211201; <a href= '/diesel-spray-combustion/target-condition/spray-b-nozzle-geometry/' target='_blank'>Geometry</a>,-,<a href= '/cvdata/argonne/assets/datafiles/needlelift/211201_Needle_Lift_Wobble_1500bar.dat' target='_blank'>needle movement vs time</a>,0.002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/Motion_211201_0deg.avi' target='_blank'>Needle motion (0deg)</a>,-
597,15,750,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JNLDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jnldaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,752.2; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,1.7,&plusmn;0.6,753.7,717.1,22.76,0.06,&plusmn;0.02,22.9,23.88,4.93,1.013,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,154.0;<a href= '/cvdata/assets/datafiles/fuelpress/jnldaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,2.8,&plusmn;1.3,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jnldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,40.8;<a href= '/cvdata/assets/datafiles/lift/jnlda_001.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jnldaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,1.75,0.14,0.12,1.79,-,-,<a href= '/cvdata/assets/datafiles/press/jnldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jnldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jnldaAL4006chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jnldaAL4006schlieren.m1v' target='_blank'>schlieren</a>,-
598,15,800,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JMLDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jmldaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,800.8; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,8.5,&plusmn;4.3,802.3,756.2,22.76,0.07,&plusmn;0.03,22.89,24.1,5.25,1.014,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,154.8;<a href= '/cvdata/assets/datafiles/fuelpress/jmldaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,3.3,&plusmn;2.1,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jmldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,26.2;<a href= '/cvdata/assets/datafiles/lift/jmlda_007.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jmldaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,0.85,0.11,0.11,0.92,-,-,<a href= '/cvdata/assets/datafiles/press/jmldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jmldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jmldaAL4010chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jmldaAL4010schlieren.m1v' target='_blank'>schlieren</a>,-
599,15,850,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JLLDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jlldaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,854.4; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,1.8,&plusmn;0.7,855.8,799.3,22.76,0.02,&plusmn;0.01,22.87,24.33,5.61,1.015,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,154.8;<a href= '/cvdata/assets/datafiles/fuelpress/jlldaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,1.4,&plusmn;0.9,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jlldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,21.0;<a href= '/cvdata/assets/datafiles/lift/jllda_001.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jlldaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,0.5,0.05,0.04,0.55,-,-,<a href= '/cvdata/assets/datafiles/press/jlldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jlldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jlldaAL4005chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jlldaAL4005schlieren.m1v' target='_blank'>schlieren</a>,-
600,15,1000,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JILDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jildaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1009.4; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,3.3,&plusmn;1.3,1010.7,924.1,22.71,0.06,&plusmn;0.02,22.8,24.81,6.62,1.016,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,153.5;<a href= '/cvdata/assets/datafiles/fuelpress/jildaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,1.4,&plusmn;1.0,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jildaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,12.2;<a href= '/cvdata/assets/datafiles/lift/jilda_001.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jildaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,0.24,0.02,0.02,0.25,-,-,<a href= '/cvdata/assets/datafiles/press/jildaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jildaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jildaAL4005chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jildaAL4005schlieren.m1v' target='_blank'>schlieren</a>,-
601,15,1100,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JGLDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jgldaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1112.3; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,9.3,&plusmn;4.7,1113.5,1006.9,22.7,0.1,&plusmn;0.05,22.77,25.07,7.3,1.017,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,152.6;<a href= '/cvdata/assets/datafiles/fuelpress/jgldaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,1.4,&plusmn;1.1,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jgldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.89; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,9.9;<a href= '/cvdata/assets/datafiles/lift/jglda_002.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jgldaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,0.15,0,0,0.2,-,-,<a href= '/cvdata/assets/datafiles/press/jgldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jgldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jgldaAL4004chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jgldaAL4004schlieren.m1v' target='_blank'>schlieren</a>,-
602,15,1200,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,JELDAAL4,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/jeldaAL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00068' target='_blank'><sup>2</sup></a>,15,0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1207.3; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,3.7,&plusmn;1.5,1208.3,1083.4,22.74,0.08,&plusmn;0.03,22.8,25.34,7.94,1.017,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,153.6;<a href= '/cvdata/assets/datafiles/fuelpress/jeldaAL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,3.4,&plusmn;1.7,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/jeldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6.1,0.01,&plusmn;0.001,14,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,7.6;<a href= '/cvdata/assets/datafiles/lift/jelda_001.png' target='_blank'>steady OH chemiluminescence</a>; <a href= '/cvdata/assets/datafiles/lift/jeldaAL4-lift.txt' target='_blank'>liftoff vs time</a>,-,-,0.11,0.01,0.01,0.15,-,-,<a href= '/cvdata/assets/datafiles/press/jeldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/jeldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jeldaAL4004chemi.m1v' target='_blank'>Luminosity</a>; <a href= '/cvdata/assets/movies/jeldaAL4004schlieren.m1v' target='_blank'>schlieren</a>,-
603,0,440,22.8,0.090ks-a,A210677,150,1.5,nC12,363,Sandia,CULDAAL1,8-Feb-11,<a href= '/cvdata/assets/datafiles/readme/culdaAL1-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a>,0,-,N2 = 100.0;,-,28,435,-,&plusmn;3,-,435,22.7,-,&plusmn;0.1,-,22.7,2.93,1,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,155.7,1.5,&plusmn;2.0,363,-,&plusmn;10,363,-,-,<a href= '/cvdata/assets/datafiles/roi/jkldaAL1-roi.txt' target='_blank'>rate of injection</a>,-,-,1.54,0.02,&plusmn;0.001,3.46,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/datafiles/pen/culdaAL1-pen.txt' target='_blank'>PenvsT</a>,-,-,-,-,-,-,-,-, <a href= '/cvdata/assets/movies/culdaAL1011schlieren.m1v' target='_blank'>schlieren</a>,-
604,0,900,22.8,0.090ks-a,A210677,150,>4,nC12,363,Sandia,bkldaAL4,10-Dec-09,<a href= '/cvdata/assets/datafiles/readme/bkldaAL4-notes.txt' target='_blank'>notes</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00009' target='_blank'><sup>2</sup></a>,0,&plusmn;0.01,O2 = 0.00; N2 = 89.71; CO2 = 6.52; H2O = 3.77;,-,28.68,892.3; <a href= '/diesel-spray-combustion/sandia-cv/thermal-distribution/thermal-distribution-for-spray-a/' target='_blank'>Temp Distr</a>,12.2,&plusmn;0.4,-,829.8,22.99,0.17,&plusmn;0.01,-,24.72,6.05,1.016,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,150.4;<a href= '/cvdata/assets/datafiles/fuelpress/bkldaAL4-fuelP.txt' target='_blank'>fuelPvsTime</a>,6.6,&plusmn;0.6,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,<a href= '/cvdata/assets/datafiles/roi/bkldaAL4-roi.txt' target='_blank'>rate of injection</a>,-,-,6,0.01,&plusmn;0.001,13.77,-,-,0.89; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.084,&plusmn;0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,10.4;<a href= '/bkldaal4liquid/' target='_blank'>liquid data</a>,0.49,&plusmn;0.34,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/datafiles/press/bkldaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/bkldaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,<a href= '/data/bkldaal4mixing/' target='_blank'>fuel/ambient mixing</a> ,-,-,-,-,-,<a href= '/data/bkldaal4movie/' target='_blank'>various movies</a> ,<a href= '/cvdata/assets/datafiles/add/bkldaAL4181L.mat'>Matlab liquid boundary Mie-scatter</a>; <a href= '/cvdata/assets/datafiles/add/bkldaAL4303DBI.mat'>Matlab liquid boundary DBI</a>; <a href= '/cvdata/assets/datafiles/add/BKLDAAL4091jb_mm.mat'>Matlab vapor boundary</a>
605,0,900,22.8,0.090ks-a,A210677,100,>4,nC12,363,Sandia,bklfaAL4,15-Dec-09,<a href= '/cvdata/assets/datafiles/readme/bklfaAL4-notes.txt' target='_blank'>notes</a>,<a href= '/references/?table_filter=2019-00001' target='_blank'><sup>1</sup></a> <a href= '/references/?table_filter=2019-00009' target='_blank'><sup>2</sup></a>,0,&plusmn;0.01,O2 = 0.00; N2 = 89.71; CO2 = 6.52; H2O = 3.77;,-,28.68,894.2,7.9,&plusmn;4.0,-,831.4,23.02,0.02,&plusmn;0.01,-,24.76,6.07,1.016,-,0.2,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,94.5;<a href= '/cvdata/assets/datafiles/fuelpress/bklfaAL4-fuelP.txt' target='_blank'>fuelPvsTime</a>,8.5,&plusmn;4.6,373,-,&plusmn;30,<a href= '/references/?table_filter=2019-00083' target='_blank'>Meijer 2012</a>,-,-,-,-,-,5.2,-,-,-,-,-,-,-,-,-,0.084,&plusmn;0.001,injector SN 210677; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>SprayA</a>,-,-,-,0.02,-,10.5;<a href= '/cvdata/assets/datafiles/liq/bklfaAL4-liq.txt' target='_blank'>liquid vs time</a>,0.45,&plusmn;0.55,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/datafiles/press/bklfaAL4-press.txt' target='_blank'>PvsT</a>,<a href= '/cvdata/assets/datafiles/pen/bklfaAL4-pen.txt' target='_blank'>PenvsT</a>,-,-,<a href= '/data/bkldaal4mixing/' target='_blank'>fuel/ambient mixing</a>,-,-,-,-,-,<a href= '/cvdata/assets/movies/bklfaAL4029schlieren.m1v' target='_blank'>schlieren</a>,<a href= '/cvdata/assets/datafiles/add/bklfaAL4029jb_mm.mat'>Matlab vapor boundary</a>
