oxycon,Ta,dens,injP,orifDiam,liftoff
19.0,1007.0,14.73,93.1,0.18,19.9
19.0,1004.3,14.76,45.0,0.18,17.8
17.0,1001.6,14.79,189.4,0.18,30.02
17.0,1000.6,14.8,93.9,0.18,24.33
17.0,1000.9,14.8,43.7,0.18,21.02
15.0,1000.5,14.79,190.3,0.18,31.89
15.0,1000.7,14.79,94.6,0.18,27.89
15.0,1000.0,14.8,43.7,0.18,22.52
21.0,1001.9,14.78,191.4,0.1,20.7
21.0,1000.3,14.8,96.0,0.1,16.25
21.0,998.2,14.83,64.5,0.1,13.57
21.0,998.4,14.83,45.3,0.1,12.3
21.0,1203.3,7.26,138.6,0.18,22.9
21.0,1053.1,7.26,138.7,0.18,34.5
21.0,954.5,7.26,138.4,0.18,53.32
21.0,1200.2,14.81,144.0,0.18,13.97
21.0,1002.5,14.81,143.7,0.18,23.97
21.0,902.2,14.81,138.7,0.18,33.58
21.0,851.2,14.81,140.7,0.18,42.3
21.0,801.6,14.8,138.3,0.18,62.85
21.0,1190.2,30.13,151.0,0.18,8.13
21.0,999.7,30.03,150.3,0.18,13.54
21.0,901.4,29.98,150.5,0.18,18.28
21.0,802.1,30.0,145.1,0.18,30.69
21.0,951.9,7.27,140.6,0.18,39.54
21.0,1003.0,7.26,139.5,0.18,34.06
21.0,1050.5,7.27,141.6,0.18,28.92
21.0,1100.9,7.28,141.0,0.18,25.69
21.0,1200.8,7.27,142.0,0.18,20.07
21.0,804.1,14.76,141.7,0.18,36.42
21.0,852.0,14.79,143.5,0.18,28.09
21.0,906.2,14.74,142.6,0.18,24.91
21.0,955.8,14.75,143.2,0.18,21.26
21.0,1003.5,14.79,144.4,0.18,18.32
21.0,1104.5,14.76,144.4,0.18,14.69
21.0,1203.0,14.77,143.9,0.18,11.68
21.0,1306.0,14.75,145.2,0.18,9.11
21.0,801.1,30.03,147.1,0.18,22.44
21.0,850.4,30.0,148.0,0.18,17.29
21.0,901.5,29.97,146.8,0.18,14.18
21.0,1001.1,30.0,145.6,0.18,10.82
21.0,1098.9,30.05,148.1,0.18,8.03
21.0,1192.4,30.04,148.6,0.18,6.76
15.0,853.2,14.79,145.2,0.18,41.92
15.0,903.9,14.78,144.4,0.18,35.21
15.0,1002.0,14.78,145.1,0.18,26.2
15.0,1100.0,14.78,144.7,0.18,20.77
15.0,1194.9,14.78,145.1,0.18,17.1
15.0,1292.6,14.82,144.9,0.18,12.85
15.0,972.5,24.26,146.3,0.18,19.32
21.0,952.1,7.31,141.2,0.18,46.82
21.0,1000.6,7.31,142.9,0.18,35.82
21.0,1051.1,7.31,141.6,0.18,29.26
21.0,1098.6,7.31,141.2,0.18,24.27
21.0,1202.0,7.31,141.1,0.18,15.88
